tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7,rate_8,rate_9,rate_10
T4-T6,Mon-Wed,46-59 Days (W5),31-50,31,50,,T7-T9,T8,$373 ,$335 ,$234 ,234,234,234,234,0,0,0
T4-T6,Mon-Wed,46-59 Days (W5),51-100,51,100,,T10-T12,T10,$421 ,$383 ,$249 ,265,265,265,265,0,0,0
T4-T6,Mon-Wed,31-45 Days (W4),0-10,0,10,,T4-T6,T4,$281 ,$243 ,$187 ,184,184,184,184,0,0,0
T4-T6,Mon-Wed,31-45 Days (W4),11-30,11,30,,T4-T6,T6,$328 ,$281 ,$215 ,209,209,209,209,0,0,0
T4-T6,Mon-Wed,31-45 Days (W4),31-50,31,50,,T7-T9,T8,$366 ,$328 ,$229 ,229,229,229,229,0,0,0
T4-T6,Mon-Wed,31-45 Days (W4),51-100,51,100,,T10-T12,T10,$413 ,$375 ,$243 ,253,253,253,253,0,0,0
T4-T6,Mon-Wed,22-30 Days (W3),0-10,0,10,,T1-T3,T2,$238 ,$211 ,$168 ,180,180,180,180,0,0,0
T4-T6,Mon-Wed,22-30 Days (W3),11-30,11,30,,T1-T3,T4,$275 ,$238 ,$183 ,205,205,205,205,0,0,0
T4-T6,Mon-Wed,22-30 Days (W3),31-50,31,50,,T4-T6,T6,$321 ,$275 ,$211 ,224,224,224,224,0,0,0
T4-T6,Mon-Wed,22-30 Days (W3),51-100,51,100,,T7-T9,T8,$358 ,$321 ,$224 ,248,248,248,248,0,0,0
T4-T6,Mon-Wed,10-21 Days (W2),0-20,0,20,,T0,T0,$206 ,$179 ,$152 ,176,176,176,176,0,0,0
T4-T6,Mon-Wed,10-21 Days (W2),21-30,21,30,,T1-T3,T2,$233 ,$206 ,$165 ,200,200,200,200,0,0,0
T4-T6,Mon-Wed,10-21 Days (W2),31-60,31,60,,T4-T6,T5,$296 ,$251 ,$197 ,220,220,220,220,0,0,0
T4-T6,Mon-Wed,10-21 Days (W2),61-100,61,100,,T7-T9,T8,$350 ,$314 ,$220 ,243,243,243,243,0,0,0
T4-T6,Mon-Wed,0-9 Days (W1),0-30,0,30,,T0,T0,$202 ,$175 ,$149 ,172,172,172,172,0,0,0
T4-T6,Mon-Wed,0-9 Days (W1),31-60,31,60,,T4-T6,T4,$263 ,$228 ,$175 ,196,196,196,196,0,0,0
T4-T6,Mon-Wed,0-9 Days (W1),61-80,61,80,,T7-T9,T7,$325 ,$290 ,$210 ,215,215,215,215,0,0,0
T4-T6,Mon-Wed,0-9 Days (W1),81-100,81,100,,T7-T9,T9,$360 ,$325 ,$221 ,237,237,237,237,0,0,0
T7-T9,Mon-Wed,>120 Days (W7),0-20,0,20,,T7-T9,T7,$369 ,$329 ,$239 ,228,228,228,228,0,0,0
T7-T9,Mon-Wed,>120 Days (W7),21-30,21,30,,T10-T12,T8,$389 ,$349 ,$244 ,257,257,257,257,0,0,0
T7-T9,Mon-Wed,>120 Days (W7),31-50,31,50,,T10-T12,T9,$409 ,$369 ,$251 ,281,281,281,281,0,0,0
T7-T9,Mon-Wed,>120 Days (W7),51-100,51,100,,T13-T15,T12,$479 ,$429 ,$289 ,311,311,311,311,0,0,0
T7-T9,Mon-Wed,60-120 Days (W6),0-20,0,20,,T7-T9,T7,$362 ,$322 ,$234 ,223,223,223,223,0,0,0
T7-T9,Mon-Wed,60-120 Days (W6),21-30,21,30,,T10-T12,T8,$381 ,$342 ,$239 ,252,252,252,252,0,0,0
T7-T9,Mon-Wed,60-120 Days (W6),31-50,31,50,,T10-T12,T9,$401 ,$362 ,$246 ,269,269,269,269,0,0,0
T7-T9,Mon-Wed,60-120 Days (W6),51-100,51,100,,T13-T15,T12,$469 ,$420 ,$283 ,294,294,294,294,0,0,0
T7-T9,Mon-Wed,46-59 Days (W5),0-10,0,10,,T7-T9,T7,$354 ,$316 ,$229 ,219,219,219,219,0,0,0
T7-T9,Mon-Wed,46-59 Days (W5),11-30,11,30,,T7-T9,T9,$393 ,$354 ,$241 ,247,247,247,247,0,0,0
T7-T9,Mon-Wed,46-59 Days (W5),31-50,31,50,,T10-T12,T11,$441 ,$402 ,$268 ,258,258,258,258,0,0,0
