tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_medium,rate_small,rate_large
T10-T12,Fri-Sat,>120 Days (W7),0-20,0,20,,T10-T12,T10,"$1,059 ",$789 ,$379 
T10-T12,Fri-Sat,>120 Days (W7),30,30,30,,T10-T12,T12,"$1,364 ","$1,154 ",$461 
T10-T12,Fri-Sat,>120 Days (W7),40-50,40,50,,T13-T15,T14,"$1,508 ","$1,294 ",$555 
T10-T12,Fri-Sat,>120 Days (W7),60-100,60,100,,T16,T16,"$1,572 ","$1,352 ",$626 
T10-T12,Fri-Sat,60-120 Days (W6),0-20,0,20,,T10-T12,T10,"$1,038 ",$773 ,$371 
T10-T12,Fri-Sat,60-120 Days (W6),30,30,30,,T10-T12,T12,"$1,337 ","$1,131 ",$452 
T10-T12,Fri-Sat,60-120 Days (W6),40-50,40,50,,T13-T15,T14,"$1,477 ","$1,268 ",$544 
T10-T12,Fri-Sat,60-120 Days (W6),60-100,60,100,,T16,T16,"$1,540 ","$1,325 ",$613 
T10-T12,Fri-Sat,46-59 Days (W5),0-10,0,10,,T10-T12,T10,"$1,017 ",$757 ,$364 
T10-T12,Fri-Sat,46-59 Days (W5),20-30,20,30,,T10-T12,T12,"$1,309 ","$1,108 ",$443 
T10-T12,Fri-Sat,46-59 Days (W5),40-50,40,50,,T13-T15,T14,"$1,447 ","$1,242 ",$533 
T10-T12,Fri-Sat,46-59 Days (W5),60-100,60,100,,T16,T16,"$1,509 ","$1,298 ",$601 
T10-T12,Fri-Sat,31-45 Days (W4),0-10,0,10,,T10-T12,T10,$995 ,$742 ,$356 
T10-T12,Fri-Sat,31-45 Days (W4),20-30,20,30,,T10-T12,T12,"$1,282 ","$1,085 ",$433 
T10-T12,Fri-Sat,31-45 Days (W4),40-50,40,50,,T13-T15,T14,"$1,417 ","$1,216 ",$522 
T10-T12,Fri-Sat,31-45 Days (W4),60-100,60,100,,T16,T16,"$1,478 ","$1,271 ",$588 
T10-T12,Fri-Sat,22-30 Days (W3),0-10,0,10,,T7-T9,T8,$735 ,$643 ,$312 
T10-T12,Fri-Sat,22-30 Days (W3),20-30,20,30,,T10-T12,T10,"$1,023 ",$762 ,$366 
T10-T12,Fri-Sat,22-30 Days (W3),40-50,40,50,,T10-T12,T11,"$1,180 ",$875 ,$412 
T10-T12,Fri-Sat,22-30 Days (W3),60-100,60,100,,T13-T15,T14,"$1,426 ","$1,224 ",$525 
T10-T12,Fri-Sat,10-21 Days (W2),0-20,0,20,,T7-T9,T7,$629 ,$566 ,$296 
T10-T12,Fri-Sat,10-21 Days (W2),30,30,30,,T7-T9,T9,$850 ,$708 ,$339 
T10-T12,Fri-Sat,10-21 Days (W2),40-60,40,60,,T10-T12,T11,"$1,155 ",$856 ,$403 
T10-T12,Fri-Sat,10-21 Days (W2),70-100,70,100,,T13-T15,T14,"$1,395 ","$1,197 ",$514 
T10-T12,Fri-Sat,0-9 Days (W1),0-30,0,30,0-1,T4-T6,T4,$422 ,$378 ,$246 
T10-T12,Fri-Sat,0-9 Days (W1),0-30,0,30,3-Feb,T4-T6,T5,$510 ,$466 ,$246 
T10-T12,Fri-Sat,0-9 Days (W1),0-30,0,30,6-Apr,T4-T6,T6,$554 ,$518 ,$254 
T10-T12,Fri-Sat,0-9 Days (W1),0-30,0,30,9-Jul,T4-T6,T7,$615 ,$554 ,$290 
T10-T12,Fri-Sat,0-9 Days (W1),40-60,40,60,,T10-T12,T9,$831 ,$692 ,$332 
T10-T12,Fri-Sat,0-9 Days (W1),70-80,70,80,,T13-T15,T11,"$1,129 ",$837 ,$395 
T10-T12,Fri-Sat,0-9 Days (W1),90-100,90,100,,T13-T15,T13,"$1,354 ","$1,161 ",$473 
T13-T15,Fri-Sat,>120 Days (W7),0-20,0,20,,T13-T15,T13,"$1,399 ","$1,199 ",$489 
T13-T15,Fri-Sat,>120 Days (W7),30,30,30,,T13-T15,T15,"$1,490 ","$1,280 ",$566 
T13-T15,Fri-Sat,>120 Days (W7),40-50,40,50,,T16,T16,"$1,529 ","$1,315 ",$609 
T13-T15,Fri-Sat,>120 Days (W7),60-100,60,100,,T16,T16,"$1,572 ","$1,352 ",$626 
T13-T15,Fri-Sat,60-120 Days (W6),0-20,0,20,,T13-T15,T13,"$1,371 ","$1,175 ",$479 
T13-T15,Fri-Sat,60-120 Days (W6),30,30,30,,T13-T15,T15,"$1,460 ","$1,254 ",$555 
T13-T15,Fri-Sat,60-120 Days (W6),40-50,40,50,,T16,T16,"$1,498 ","$1,289 ",$597 
T13-T15,Fri-Sat,60-120 Days (W6),60-100,60,100,,T16,T16,"$1,540 ","$1,325 ",$613 
T13-T15,Fri-Sat,46-59 Days (W5),0-10,0,10,,T13-T15,T13,"$1,343 ","$1,151 ",$469 
T13-T15,Fri-Sat,46-59 Days (W5),20-30,20,30,,T13-T15,T15,"$1,430 ","$1,229 ",$543 
T13-T15,Fri-Sat,46-59 Days (W5),40-50,40,50,,T16,T16,"$1,468 ","$1,262 ",$584 
T13-T15,Fri-Sat,46-59 Days (W5),60-100,60,100,,T16,T16,"$1,509 ","$1,298 ",$601 
T13-T15,Fri-Sat,31-45 Days (W4),0-10,0,10,,T13-T15,T13,"$1,315 ","$1,127 ",$460 
T13-T15,Fri-Sat,31-45 Days (W4),20-30,20,30,,T13-T15,T14,"$1,391 ","$1,193 ",$512 
T13-T15,Fri-Sat,31-45 Days (W4),40-50,40,50,,T13-T15,T15,"$1,427 ","$1,226 ",$542 
T13-T15,Fri-Sat,31-45 Days (W4),60-100,60,100,,T16,T16,"$1,478 ","$1,271 ",$588 
T13-T15,Fri-Sat,22-30 Days (W3),0-10,0,10,,T10-T12,T12,"$1,195 ","$1,011 ",$404 
T13-T15,Fri-Sat,22-30 Days (W3),20-30,20,30,,T13-T15,T13,"$1,351 ","$1,158 ",$472 
T13-T15,Fri-Sat,22-30 Days (W3),40-50,40,50,,T13-T15,T14,"$1,387 ","$1,190 ",$511 
T13-T15,Fri-Sat,22-30 Days (W3),60-100,60,100,,T16,T16,"$1,446 ","$1,244 ",$576 
T13-T15,Fri-Sat,10-21 Days (W2),0-20,0,20,,T10-T12,T10,$953 ,$710 ,$341 
T13-T15,Fri-Sat,10-21 Days (W2),30,30,30,,T10-T12,T12,"$1,228 ","$1,039 ",$415 
T13-T15,Fri-Sat,10-21 Days (W2),40-60,40,60,,T13-T15,T14,"$1,357 ","$1,164 ",$500 
T13-T15,Fri-Sat,10-21 Days (W2),70-100,70,100,,T16,T16,"$1,415 ","$1,217 ",$563 
T13-T15,Fri-Sat,0-9 Days (W1),0-30,0,30,0-1,T7-T9,T7,$615 ,$554 ,$290 
T13-T15,Fri-Sat,0-9 Days (W1),0-30,0,30,3-Feb,T7-T9,T8,$703 ,$615 ,$298 
T13-T15,Fri-Sat,0-9 Days (W1),0-30,0,30,6-Apr,T7-T9,T9,$791 ,$659 ,$316 
T13-T15,Fri-Sat,0-9 Days (W1),0-30,0,30,9-Jul,T7-T9,T10,$932 ,$694 ,$334 
T13-T15,Fri-Sat,0-9 Days (W1),40-60,40,60,,T13-T15,T12,"$1,200 ","$1,015 ",$406 
T13-T15,Fri-Sat,0-9 Days (W1),70-80,70,80,,T16,T14,"$1,327 ","$1,138 ",$489 
T13-T15,Fri-Sat,0-9 Days (W1),90-100,90,100,,T16,T15,"$1,374 ","$1,180 ",$522 
