Reservation ID,Listing ID,PMS Name,check_in_date,check_out_date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
5.74E+12,203812___362535,cloudbeds,8/18/24,8/19/24,288,288,1,8/14/24,4
6.56E+12,203812___362535,cloudbeds,8/11/24,8/12/24,229,229,1,8/10/24,1
6.83E+12,203812___362535,cloudbeds,8/19/24,8/21/24,209,418,2,8/8/24,11
8.27E+12,203812___362535,cloudbeds,8/12/24,8/14/24,261,522,2,8/8/24,4
2.89E+12,203812___362535,cloudbeds,8/10/24,8/11/24,249,249,1,8/8/24,2
3.40E+12,203812___362535,cloudbeds,8/30/24,9/2/24,582,1746,3,7/31/24,30
5.11E+12,203812___362535,cloudbeds,8/5/24,8/10/24,276,1380,5,7/29/24,7
7.40E+12,203812___362535,cloudbeds,7/20/24,7/21/24,431,431,1,7/20/24,0
9.79E+12,203812___362535,cloudbeds,8/2/24,8/4/24,449,898,2,7/20/24,13
5.37E+12,203812___362535,cloudbeds,8/26/24,8/28/24,261,522,2,7/16/24,41
2.91E+12,203812___362535,cloudbeds,7/24/24,7/26/24,326,652,2,7/15/24,9
5.23E+12,203812___362535,cloudbeds,7/10/24,7/11/24,213,213,1,7/10/24,0
8.73E+12,203812___362535,cloudbeds,7/16/24,7/17/24,352,352,1,7/9/24,7
4.13E+12,203812___362535,cloudbeds,7/18/24,7/19/24,433,433,1,7/1/24,17
7.53E+12,203812___362535,cloudbeds,7/26/24,7/28/24,999,1998,2,6/28/24,28
9.63E+12,203812___362535,cloudbeds,7/3/24,7/5/24,324,648,2,6/26/24,7
7.93E+12,203812___362535,cloudbeds,6/23/24,6/24/24,251,251,1,6/20/24,3
4.75E+12,203812___362535,cloudbeds,6/24/24,6/27/24,245,735,3,6/19/24,5
3.25E+12,203812___362535,cloudbeds,6/21/24,6/23/24,215,430,2,6/15/24,6
7.15E+12,203812___362535,cloudbeds,6/28/24,6/30/24,279,558,2,6/13/24,15
3.61E+12,203812___362535,cloudbeds,7/5/24,7/7/24,899,1798,2,6/11/24,24
6.27E+12,203812___362535,cloudbeds,6/30/24,7/1/24,293,293,1,6/7/24,23
7.88E+12,203812___362535,cloudbeds,6/8/24,6/9/24,404,404,1,6/7/24,1
4.62E+12,203812___362535,cloudbeds,6/17/24,6/19/24,486,972,2,6/6/24,11
1.75E+12,203812___362535,cloudbeds,7/21/24,7/24/24,289,867,3,6/5/24,46
4.31E+12,203812___362535,cloudbeds,6/9/24,6/11/24,283,566,2,6/3/24,6
3.06E+12,203812___362535,cloudbeds,7/29/24,7/31/24,239,478,2,6/2/24,57
3.01E+12,203812___362535,cloudbeds,7/8/24,7/10/24,251,502,2,6/1/24,37
3.96E+12,203812___362535,cloudbeds,7/1/24,7/3/24,279,558,2,5/28/24,34
1.98E+12,203812___362535,cloudbeds,5/24/24,5/26/24,444,888,2,5/24/24,0
7.67E+12,203812___362535,cloudbeds,6/5/24,6/8/24,296,888,3,5/23/24,13
5.75E+12,203812___362535,cloudbeds,6/11/24,6/13/24,272,544,2,5/14/24,28
9.75E+12,203812___362535,cloudbeds,5/26/24,5/27/24,1056,1056,1,5/14/24,12
6.43E+12,203812___362535,cloudbeds,5/11/24,5/12/24,352,352,1,5/11/24,0
4.81E+12,203812___362535,cloudbeds,6/3/24,6/5/24,272,544,2,5/11/24,23
4.94E+12,203812___362535,cloudbeds,5/13/24,5/15/24,211,422,2,5/11/24,2
5.43E+12,203812___362535,cloudbeds,5/12/24,5/13/24,229,229,1,5/10/24,2
9.12E+12,203812___362535,cloudbeds,7/12/24,7/14/24,729,1458,2,5/6/24,67
1.13E+12,203812___362535,cloudbeds,5/30/24,6/2/24,282,846,3,5/3/24,27
5.49E+12,203812___362535,cloudbeds,5/27/24,5/29/24,355,710,2,5/2/24,25
7.44E+12,203812___362535,cloudbeds,5/2/24,5/5/24,601,1803,3,4/29/24,3
3.31E+12,203812___362535,cloudbeds,2/21/25,2/23/25,549,1098,2,1/13/25,39
4.79E+12,203812___362535,cloudbeds,2/2/25,2/3/25,229,229,1,1/15/25,18
6.76E+12,203812___362535,cloudbeds,1/26/25,1/28/25,250.5,501,2,1/20/25,6
8.95E+12,203812___362535,cloudbeds,2/16/25,2/17/25,235,235,1,1/24/25,23
2.36E+12,203812___362535,cloudbeds,3/8/25,3/10/25,758,1516,2,1/27/25,40
8.85E+12,203812___362535,cloudbeds,2/3/25,2/6/25,175,525,3,1/30/25,4
9.93E+12,203812___362535,cloudbeds,2/10/25,2/12/25,250,500,2,1/31/25,10
2.24E+12,203812___362535,cloudbeds,2/12/25,2/13/25,250,250,1,2/1/25,11
9.54E+12,203812___362535,cloudbeds,2/24/25,2/25/25,250,250,1,2/2/25,22
8.01E+12,203812___362535,cloudbeds,3/10/25,3/12/25,395,790,2,2/5/25,33
4.49E+12,203812___362535,cloudbeds,2/9/25,2/10/25,218,218,1,2/8/25,1
2.47E+12,203812___362535,cloudbeds,4/13/25,4/18/25,390,1950,5,2/11/25,61
4.30E+12,203812___362535,cloudbeds,2/13/25,2/14/25,218,218,1,2/13/25,0
5.36E+12,203812___362535,cloudbeds,2/14/25,2/16/25,524,1048,2,2/14/25,0
6.76E+12,203812___362535,cloudbeds,4/12/25,4/13/25,1173,1173,1,2/19/25,52
4.45E+12,203812___362535,cloudbeds,2/23/25,2/24/25,322,322,1,2/19/25,4
3.95E+12,203812___362535,cloudbeds,3/5/25,3/7/25,337.5,675,2,2/21/25,12
5.22E+12,203812___362535,cloudbeds,2/28/25,3/2/25,569,1138,2,2/22/25,6
3.93E+12,203812___362535,cloudbeds,3/7/25,3/8/25,685,685,1,2/25/25,10
9.07E+12,203812___362535,cloudbeds,3/3/25,3/5/25,208,416,2,2/28/25,3
2.21E+12,203812___362535,cloudbeds,3/16/25,3/19/25,502.666667,1508,3,3/5/25,11
5.51E+12,203812___362535,cloudbeds,3/14/25,3/16/25,773,1546,2,3/7/25,7
5.81E+12,203812___362535,cloudbeds,3/21/25,3/23/25,765,1530,2,3/8/25,13
2.54E+12,203812___362535,cloudbeds,3/28/25,3/30/25,763,1526,2,3/16/25,12
3.46E+12,203812___362535,cloudbeds,3/19/25,3/20/25,202,202,1,3/17/25,2
5.23E+12,203812___362535,cloudbeds,3/24/25,3/25/25,207,207,1,3/17/25,7
6.86E+12,203812___362535,cloudbeds,3/20/25,3/21/25,177,177,1,3/20/25,0
8.80E+12,203812___362535,cloudbeds,3/27/25,3/28/25,219,219,1,3/22/25,5
9.19E+12,203812___362535,cloudbeds,6/3/25,6/6/25,340,1020,3,3/23/25,72
4.40E+12,203812___362535,cloudbeds,4/5/25,4/7/25,829.5,1659,2,3/23/25,13
8.52E+12,203812___362535,cloudbeds,8/28/25,8/29/25,294,294,1,3/25/25,156
9.37E+12,203812___362535,cloudbeds,3/30/25,3/31/25,348,348,1,3/25/25,5
2.73E+12,203812___362535,cloudbeds,4/1/25,4/3/25,281,562,2,3/27/25,5
2.91E+12,203812___364773,cloudbeds,8/23/24,8/25/24,899,1798,2,5/13/24,102
6.76E+12,203812___364773,cloudbeds,8/25/24,8/27/24,359,718,2,5/11/24,106
8.08E+12,203812___364773,cloudbeds,5/3/24,5/5/24,719,1438,2,4/27/24,6
1.40E+12,203812___364773,cloudbeds,4/27/24,4/28/24,779,779,1,4/27/24,0
7.26E+12,203812___364773,cloudbeds,6/3/24,6/6/24,279,837,3,4/25/24,39
3.51E+12,203812___364773,cloudbeds,4/25/24,4/27/24,714,1428,2,4/24/24,1
4.96E+12,203812___364773,cloudbeds,4/21/24,4/23/24,223,446,2,4/21/24,0
1.37E+10,203812___364773,cloudbeds,4/20/24,4/21/24,607,607,1,4/20/24,0
4.35E+12,203812___364773,cloudbeds,6/6/24,6/9/24,752.333333,2257,3,4/14/24,53
4.98E+12,203812___364773,cloudbeds,4/29/24,5/2/24,315.666667,947,3,4/13/24,16
4.63E+12,203812___364773,cloudbeds,4/14/24,4/18/24,149,596,4,4/11/24,3
8.69E+12,203812___364773,cloudbeds,4/11/24,4/12/24,279,279,1,4/11/24,0
9.85E+12,203812___364773,cloudbeds,5/15/24,5/17/24,424,848,2,4/9/24,36
1.19E+12,203812___364773,cloudbeds,7/4/24,7/7/24,752.333333,2257,3,4/8/24,87
2.58E+12,203812___364773,cloudbeds,4/4/24,4/5/24,240,240,1,4/4/24,0
5.59E+12,203812___364773,cloudbeds,5/11/24,5/13/24,679,1358,2,4/3/24,38
4542314118058-2,203812___364773,cloudbeds,5/7/24,5/10/24,391.333333,1174,3,4/2/24,35
8.45E+11,203812___364773,cloudbeds,5/25/24,5/29/24,534,2136,4,3/28/24,58
6.50E+12,203812___364773,cloudbeds,3/28/24,3/29/24,438,438,1,3/28/24,0
9.34E+12,203812___364773,cloudbeds,3/29/24,3/31/24,923,1846,2,3/23/24,6
4.43E+12,203812___364773,cloudbeds,8/16/24,8/18/24,899,1798,2,3/22/24,147
8.02E+12,203812___364773,cloudbeds,3/19/24,3/20/24,219,219,1,3/18/24,1
6.90E+12,203812___364773,cloudbeds,5/22/24,5/24/24,424,848,2,3/15/24,68
9.50E+12,203812___364773,cloudbeds,4/3/24,4/4/24,279,279,1,3/14/24,20
0914757589370-2,203812___364773,cloudbeds,3/17/24,3/18/24,259,259,1,3/14/24,3
5.94E+12,203812___364773,cloudbeds,4/1/24,4/3/24,279,558,2,3/12/24,20
5.30E+12,203812___364773,cloudbeds,3/24/24,3/28/24,307.75,1231,4,3/10/24,14
6.93E+12,203812___364773,cloudbeds,3/14/24,3/15/24,514,514,1,3/5/24,9
7.90E+12,203812___364773,cloudbeds,2/25/24,2/26/24,218,218,1,2/25/24,0
2.97E+11,203812___364773,cloudbeds,2/28/24,2/29/24,221,221,1,2/25/24,3
7.88E+12,203812___364773,cloudbeds,2/27/24,2/28/24,221,221,1,2/23/24,4
4.55E+12,203812___364773,cloudbeds,3/15/24,3/17/24,929,1858,2,2/22/24,22
2.00E+12,203812___364773,cloudbeds,3/12/24,3/14/24,267,534,2,2/21/24,20
4.27E+12,203812___364773,cloudbeds,2/21/24,2/22/24,253,253,1,2/20/24,1
9.49E+12,203812___364773,cloudbeds,4/12/24,4/14/24,1049,2098,2,2/19/24,53
3.56E+12,203812___364773,cloudbeds,2/19/24,2/20/24,271,271,1,2/19/24,0
6.66E+12,203812___364773,cloudbeds,2/20/24,2/21/24,251,251,1,2/16/24,4
3.71E+12,203812___364773,cloudbeds,2/14/24,2/15/24,276,276,1,2/14/24,0
6.64E+12,203812___364773,cloudbeds,3/20/24,3/22/24,890,1780,2,2/14/24,35
4.69E+12,203812___364773,cloudbeds,2/4/24,2/5/24,366,366,1,2/4/24,0
4.13E+12,203812___364773,cloudbeds,3/2/24,3/5/24,738.666667,2216,3,2/4/24,27
4.76E+12,203812___364773,cloudbeds,2/3/24,2/4/24,485,485,1,2/3/24,0
4.12E+12,203812___364773,cloudbeds,3/10/24,3/12/24,428,856,2,2/1/24,38
1.38E+12,203812___364773,cloudbeds,3/22/24,3/24/24,1114,2228,2,1/30/24,52
4.13E+12,203812___364773,cloudbeds,2/22/24,2/23/24,242,242,1,1/29/24,24
5.30E+12,203812___364773,cloudbeds,2/11/24,2/12/24,405,405,1,1/19/24,23
3.96E+12,203812___364773,cloudbeds,1/17/24,1/19/24,240,480,2,1/14/24,3
9.11E+11,203812___364773,cloudbeds,1/12/24,1/13/24,399,399,1,1/12/24,0
2.80E+12,203812___364773,cloudbeds,4/5/24,4/9/24,3099.5,12398,4,1/12/24,84
8.44E+12,203812___364773,cloudbeds,1/21/24,1/22/24,329,329,1,1/10/24,11
4.87E+12,203812___364773,cloudbeds,2/23/24,2/25/24,617,1234,2,1/8/24,46
5.36E+12,203812___364773,cloudbeds,1/19/24,1/21/24,811.5,1623,2,1/8/24,11
5.81E+12,203812___364773,cloudbeds,1/8/24,1/10/24,327,654,2,1/6/24,2
3.65E+12,203812___364773,cloudbeds,1/22/24,1/24/24,242,484,2,1/4/24,18
2.61E+11,203812___364773,cloudbeds,3/8/24,3/10/24,659,1318,2,12/28/23,71
6.77E+11,203812___364773,cloudbeds,12/28/23,12/30/23,883,1766,2,12/23/23,5
7.04E+12,203812___364773,cloudbeds,1/5/24,1/8/24,614,1842,3,12/20/23,16
6.93E+12,203812___364773,cloudbeds,12/21/23,12/22/23,232,232,1,12/18/23,3
9.30E+12,203812___364773,cloudbeds,12/18/23,12/19/23,220,220,1,12/17/23,1
2.56E+12,203812___364773,cloudbeds,12/26/23,12/28/23,591,1182,2,12/16/23,10
7.49E+12,203812___364773,cloudbeds,12/30/23,1/2/24,686.666667,2060,3,12/13/23,17
6.88E+12,203812___364773,cloudbeds,12/17/23,12/18/23,265,265,1,12/13/23,4
1.84E+12,203812___364773,cloudbeds,12/22/23,12/24/23,485,970,2,12/13/23,9
1.75E+12,203812___364773,cloudbeds,12/12/23,12/13/23,223,223,1,12/11/23,1
7.49E+12,203812___364773,cloudbeds,12/8/23,12/10/23,923,1846,2,12/6/23,2
1.58E+12,203812___364773,cloudbeds,1/2/24,1/4/24,327.5,655,2,12/3/23,30
5.56E+12,203812___364773,cloudbeds,2/9/24,2/11/24,688,1376,2,11/30/23,71
6.10E+12,203812___364773,cloudbeds,12/1/23,12/3/23,417,834,2,11/29/23,2
1.90E+11,203812___364773,cloudbeds,2/15/24,2/19/24,711.25,2845,4,11/26/23,81
1.75E+12,203812___364773,cloudbeds,11/22/23,11/24/23,297.5,595,2,11/21/23,1
7.98E+12,203812___364773,cloudbeds,11/24/23,11/26/23,736,1472,2,11/19/23,5
1.13E+12,203812___364773,cloudbeds,11/17/23,11/20/23,730.666667,2192,3,11/16/23,1
4.41E+12,203812___364773,cloudbeds,11/20/23,11/22/23,434.5,869,2,11/15/23,5
3.69E+12,203812___364773,cloudbeds,12/19/23,12/21/23,439,878,2,11/10/23,39
1.70E+11,203812___364773,cloudbeds,11/3/23,11/4/23,379,379,1,11/2/23,1
6.42E+12,203812___364773,cloudbeds,11/4/23,11/6/23,495.5,991,2,11/1/23,3
6.93E+12,203812___364773,cloudbeds,11/12/23,11/14/23,209,418,2,10/29/23,14
4.21E+12,203812___364773,cloudbeds,10/31/23,11/2/23,279,558,2,10/27/23,4
6.67E+12,203812___364773,cloudbeds,10/27/23,10/30/23,1163.66667,3491,3,10/17/23,10
7.56E+12,203812___364773,cloudbeds,11/6/23,11/8/23,278.5,557,2,10/16/23,21
8.84E+12,203812___364773,cloudbeds,10/22/23,10/26/23,242,968,4,10/16/23,6
2.13E+12,203812___364773,cloudbeds,10/16/23,10/17/23,229,229,1,10/13/23,3
1.31E+12,203812___364773,cloudbeds,10/13/23,10/14/23,399,399,1,10/13/23,0
2.53E+12,203812___364773,cloudbeds,11/15/23,11/17/23,386,772,2,10/11/23,35
2.56E+11,203812___364773,cloudbeds,10/14/23,10/16/23,509,1018,2,10/11/23,3
7.20E+11,203812___364773,cloudbeds,10/6/23,10/8/23,439,878,2,10/4/23,2
7.05E+12,203812___364773,cloudbeds,9/30/23,10/2/23,470,940,2,9/29/23,1
7.83E+12,203812___364773,cloudbeds,10/10/23,10/13/23,590,1770,3,9/24/23,16
2.11E+12,203812___364773,cloudbeds,9/24/23,9/25/23,345,345,1,9/23/23,1
2141763283226-2,203812___364773,cloudbeds,10/18/23,10/20/23,489,978,2,9/22/23,26
9.27E+12,203812___364773,cloudbeds,9/22/23,9/24/23,687,1374,2,9/21/23,1
8.91E+12,203812___364773,cloudbeds,9/15/23,9/17/23,439,878,2,9/14/23,1
3.53E+12,203812___364773,cloudbeds,10/20/23,10/22/23,1300,2600,2,9/14/23,36
9.94E+12,203812___364773,cloudbeds,9/19/23,9/21/23,249,498,2,9/14/23,5
6.29E+12,203812___364773,cloudbeds,9/10/23,9/13/23,339,1017,3,9/9/23,1
8.41E+12,203812___364773,cloudbeds,9/9/23,9/10/23,618,618,1,9/7/23,2
3.62E+12,203812___364773,cloudbeds,9/1/23,9/3/23,810,1620,2,8/30/23,2
7.65E+12,203812___364773,cloudbeds,8/30/23,8/31/23,301,301,1,8/29/23,1
8.83E+12,203812___364773,cloudbeds,8/27/23,8/28/23,199,199,1,8/27/23,0
2.14E+12,203812___364773,cloudbeds,8/26/23,8/27/23,349,349,1,8/25/23,1
3.62E+11,203812___364773,cloudbeds,8/25/23,8/26/23,501,501,1,8/25/23,0
7.25E+11,203812___364773,cloudbeds,8/23/23,8/24/23,301,301,1,8/18/23,5
9.40E+12,203812___364773,cloudbeds,8/18/23,8/20/23,644,1288,2,8/18/23,0
3.70E+12,203812___364773,cloudbeds,11/9/23,11/12/23,952.666667,2858,3,8/13/23,88
1.68E+12,203812___364773,cloudbeds,8/12/23,8/13/23,379,379,1,8/12/23,0
4.26E+12,203812___364773,cloudbeds,9/6/23,9/8/23,402,804,2,8/7/23,30
2.47E+12,203812___364773,cloudbeds,8/7/23,8/9/23,331,662,2,8/5/23,2
8.51E+12,203812___364773,cloudbeds,8/31/23,9/1/23,402,402,1,8/3/23,28
5.25E+12,203812___364773,cloudbeds,8/6/23,8/7/23,577,577,1,8/2/23,4
3.21E+12,203812___364773,cloudbeds,8/14/23,8/17/23,211,633,3,8/1/23,13
8.18E+11,203812___364773,cloudbeds,7/27/23,7/29/23,610.5,1221,2,7/27/23,0
8.74E+12,203812___364773,cloudbeds,7/18/23,7/20/23,286,572,2,7/16/23,2
6.41E+12,203812___364773,cloudbeds,7/16/23,7/17/23,241,241,1,7/15/23,1
8.83E+12,203812___364773,cloudbeds,8/1/23,8/4/23,322,966,3,7/14/23,18
9.77E+12,203812___364773,cloudbeds,8/4/23,8/6/23,753,1506,2,7/13/23,22
2.23E+12,203812___364773,cloudbeds,7/20/23,7/22/23,636,1272,2,7/12/23,8
1.58E+12,203812___364773,cloudbeds,7/29/23,7/31/23,920.5,1841,2,7/10/23,19
3.66E+12,203812___364773,cloudbeds,7/3/23,7/4/23,544,544,1,7/2/23,1
7.50E+12,203812___364773,cloudbeds,7/25/23,7/27/23,454,908,2,7/1/23,24
2.40E+12,203812___364773,cloudbeds,7/8/23,7/10/23,607,1214,2,6/30/23,8
2.82E+12,203812___364773,cloudbeds,7/13/23,7/15/23,579,1158,2,6/30/23,13
4.85E+12,203812___364773,cloudbeds,7/6/23,7/8/23,456,912,2,6/30/23,6
7.63E+12,203812___364773,cloudbeds,12/15/23,12/17/23,818,1636,2,6/29/23,169
