Listing ID,PMS Name,Date,Units,no_booked,no_blocked,blocking_units,Bookable Units,nightly_revenue,Vacant Units
203812___364779,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/13/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/14/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/15/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/16/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___490024,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___528745,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___634080,cloudbeds,1/17/21,1,0,1,1,0,0,0
203812___362535,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364773,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364776,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364778,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364779,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364780,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364781,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___364782,cloudbeds,1/18/21,1,0,1,1,0,0,0
203812___490007,cloudbeds,1/18/21,1,0,1,1,0,0,0
