tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4,rate_5,rate_6,rate_7
T10-T12,Fri-Sat,14-33 Days (W2),0-16%,0,16,,,T8,$379,$416,$458,$504,$554,$609,$654
T10-T12,Fri-Sat,14-33 Days (W2),17-33%,17,33,,,T9,$429,$472,$519,$570,$627,$690,$742
T10-T12,Fri-Sat,14-33 Days (W2),34-50%,34,50,,,T10,$485,$534,$587,$646,$710,$782,$840
T10-T12,Fri-Sat,14-33 Days (W2),50-100%,50,100,,,T11,$549,$603,$664,$731,$804,$884,$950
T10-T12,Mon-Wed,34-61 Days (W3),0-12%,0,12,,,T11,$357,$393,$432,$475,$523,$575,$618
T10-T12,Mon-Wed,34-61 Days (W3),13-33%,13,33,,,T12,$404,$445,$489,$539,$592,$652,$700
T10-T12,Mon-Wed,34-61 Days (W3),34-50%,34,50,,,T13,$458,$504,$555,$610,$671,$738,$793
T10-T12,Mon-Wed,34-61 Days (W3),51-70%,51,70,,,T14,$518,$570,$627,$690,$759,$835,$897
T10-T12,Mon-Wed,34-61 Days (W3),70-100%,70,100,,,T16,$644,$709,$780,$858,$943,"$1,038","$1,115"
T10-T12,Thu-Sun,34-61 Days (W3),0-12%,0,12,,,T11,$429,$471,$518,$570,$628,$690,$741
T10-T12,Thu-Sun,34-61 Days (W3),13-33%,13,33,,,T12,$486,$534,$587,$647,$711,$782,$840
T10-T12,Thu-Sun,34-61 Days (W3),34-50%,34,50,,,T13,$550,$604,$666,$732,$805,$885,$951
T10-T12,Thu-Sun,34-61 Days (W3),51-70%,51,70,,,T14,$622,$684,$752,$828,$910,"$1,001","$1,076"
T10-T12,Thu-Sun,34-61 Days (W3),70-100%,70,100,,,T16,$773,$850,$935,"$1,029","$1,132","$1,245","$1,338"
T10-T12,Fri-Sat,34-61 Days (W3),0-12%,0,12,,,T11,$515,$565,$622,$684,$754,$828,$890
T10-T12,Fri-Sat,34-61 Days (W3),13-33%,13,33,,,T12,$582,$641,$705,$776,$853,$938,"$1,009"
T10-T12,Fri-Sat,34-61 Days (W3),34-50%,34,50,,,T13,$659,$726,$799,$878,$966,"$1,062","$1,142"
T10-T12,Fri-Sat,34-61 Days (W3),51-70%,51,70,,,T14,$746,$821,$903,$993,"$1,092","$1,202","$1,291"
T10-T12,Fri-Sat,34-61 Days (W3),70-100%,70,100,,,T16,$928,"$1,020","$1,123","$1,235","$1,359","$1,495","$1,605"
T10-T12,Mon-Wed,62-99 Days (W4),0-28%,0,28,,,T12,$401,$441,$485,$534,$587,$646,$694
T10-T12,Mon-Wed,62-99 Days (W4),29-50%,29,50,,,T13,$454,$500,$550,$605,$665,$732,$786
T10-T12,Mon-Wed,62-99 Days (W4),50-100%,50,100,,,T14,$514,$566,$622,$685,$753,$829,$890
T10-T12,Thu-Sun,62-99 Days (W4),0-28%,0,28,,,T12,$481,$529,$582,$641,$705,$775,$833
T10-T12,Thu-Sun,62-99 Days (W4),29-50%,29,50,,,T13,$545,$600,$660,$726,$798,$878,$944
T10-T12,Thu-Sun,62-99 Days (W4),50-100%,50,100,,,T14,$617,$679,$747,$822,$904,$994,"$1,068"
T10-T12,Fri-Sat,62-99 Days (W4),0-28%,0,28,,,T12,$577,$635,$699,$769,$846,$930,"$1,000"
T10-T12,Fri-Sat,62-99 Days (W4),29-50%,29,50,,,T13,$654,$720,$792,$871,$958,"$1,054","$1,133"
T10-T12,Fri-Sat,62-99 Days (W4),50-100%,50,100,,,T14,$741,$815,$896,$986,"$1,085","$1,194","$1,282"
T10-T12,Mon-Wed,>100 Days (W5),0-25%,0,25,,,T12,$409,$450,$495,$545,$599,$659,$708
T10-T12,Mon-Wed,>100 Days (W5),26-40%,26,40,,,T13,$464,$510,$561,$617,$679,$747,$802
T10-T12,Mon-Wed,>100 Days (W5),41-80%,41,80,,,T14,$525,$578,$635,$699,$768,$846,$908
T10-T12,Mon-Wed,>100 Days (W5),80-100%,80,100,,,T16,$653,$718,$790,$870,$956,"$1,052","$1,130"
T10-T12,Thu-Sun,>100 Days (W5),0-25%,0,25,,,T12,$491,$540,$594,$654,$719,$791,$850
T10-T12,Thu-Sun,>100 Days (W5),26-40%,26,40,,,T13,$556,$612,$674,$741,$815,$896,$963
T10-T12,Thu-Sun,>100 Days (W5),41-80%,41,80,,,T14,$630,$693,$762,$838,$922,"$1,014","$1,090"
T10-T12,Thu-Sun,>100 Days (W5),80-100%,80,100,,,T16,$784,$862,$948,"$1,043","$1,148","$1,262","$1,356"
T10-T12,Fri-Sat,>100 Days (W5),0-25%,0,25,,,T12,$589,$648,$713,$785,$863,$949,"$1,020"
T10-T12,Fri-Sat,>100 Days (W5),26-40%,26,40,,,T13,$667,$734,$809,$889,$977,"$1,075","$1,156"
T10-T12,Fri-Sat,>100 Days (W5),41-80%,41,80,,,T14,$756,$832,$915,"$1,006","$1,107","$1,218","$1,308"
T10-T12,Fri-Sat,>100 Days (W5),80-100%,80,100,,,T16,$941,"$1,034","$1,138","$1,252","$1,378","$1,515","$1,627"
T13-T15,Mon-Wed,0-13 Days (W1),0-14%,0,14,0-1,,T1,$132,$145,$160,$176,$193,$213,$228
T13-T15,Mon-Wed,0-13 Days (W1),0-14%,0,14,2-3,,T2,$148,$163,$179,$197,$217,$238,$256
T13-T15,Mon-Wed,0-13 Days (W1),0-14%,0,14,4-7,,T3,$166,$183,$201,$221,$243,$268,$287
T13-T15,Mon-Wed,0-13 Days (W1),0-14%,0,14,8-13,,T4,$186,$205,$225,$248,$273,$300,$322
T13-T15,Mon-Wed,0-13 Days (W1),15-33%,15,33,,,T5,$199,$219,$241,$265,$292,$320,$344
T13-T15,Mon-Wed,0-13 Days (W1),34-40%,34,40,,,T6,$225,$248,$273,$300,$330,$363,$390
T13-T15,Mon-Wed,0-13 Days (W1),41-60%,41,60,,,T7,$255,$281,$309,$339,$373,$410,$441
T13-T15,Mon-Wed,0-13 Days (W1),61-100%,61,100,,,T8,$289,$317,$348,$383,$421,$464,$499
T13-T15,Thu-Sun,0-13 Days (W1),0-14%,0,14,0-1,,T1,$158,$174,$191,$211,$232,$255,$274
T13-T15,Thu-Sun,0-13 Days (W1),0-14%,0,14,2-3,,T2,$177,$195,$215,$236,$260,$286,$308
T13-T15,Thu-Sun,0-13 Days (W1),0-14%,0,14,4-7,,T3,$199,$219,$241,$265,$292,$321,$344
T13-T15,Thu-Sun,0-13 Days (W1),0-14%,0,14,8-13,,T4,$223,$246,$270,$297,$328,$360,$386
T13-T15,Thu-Sun,0-13 Days (W1),14-33%,14,33,,,T5,$232,$255,$281,$309,$339,$374,$401
T13-T15,Thu-Sun,0-13 Days (W1),33-40%,33,40,,,T6,$255,$281,$309,$339,$374,$411,$442
T13-T15,Thu-Sun,0-13 Days (W1),40-60%,40,60,,,T7,$281,$309,$339,$374,$411,$452,$486
T13-T15,Thu-Sun,0-13 Days (W1),60-100%,60,100,,,T8,$309,$339,$374,$411,$452,$497,$534
T13-T15,Fri-Sat,0-13 Days (W1),0-14%,0,14,0-1,,T1,$190,$209,$230,$253,$278,$306,$328
T13-T15,Fri-Sat,0-13 Days (W1),0-14%,0,14,2-3,,T2,$213,$235,$258,$283,$312,$343,$369
T13-T15,Fri-Sat,0-13 Days (W1),0-14%,0,14,4-7,,T3,$239,$263,$289,$319,$350,$386,$413
T13-T15,Fri-Sat,0-13 Days (W1),0-14%,0,14,8-13,,T4,$268,$295,$325,$357,$393,$432,$464
T13-T15,Fri-Sat,0-13 Days (W1),14-33%,14,33,,,T5,$278,$306,$337,$371,$408,$448,$481
T13-T15,Fri-Sat,0-13 Days (W1),33-40%,33,40,,,T6,$306,$337,$371,$408,$448,$493,$530
T13-T15,Fri-Sat,0-13 Days (W1),40-60%,40,60,,,T7,$337,$371,$408,$448,$493,$542,$582
T13-T15,Fri-Sat,0-13 Days (W1),60-100%,60,100,,,T8,$371,$408,$448,$493,$542,$596,$640
T13-T15,Mon-Wed,14-33 Days (W2),0-16%,0,16,,,T11,$350,$384,$423,$465,$512,$563,$605
T13-T15,Mon-Wed,14-33 Days (W2),17-33%,17,33,,,T12,$396,$436,$479,$528,$580,$638,$685
T13-T15,Mon-Wed,14-33 Days (W2),34-50%,34,50,,,T13,$448,$493,$543,$597,$657,$722,$776
T13-T15,Mon-Wed,14-33 Days (W2),50-100%,50,100,,,T14,$507,$558,$614,$675,$743,$818,$878
T13-T15,Thu-Sun,14-33 Days (W2),0-16%,0,16,,,T11,$420,$462,$508,$558,$615,$676,$726
T13-T15,Thu-Sun,14-33 Days (W2),17-33%,17,33,,,T12,$475,$523,$575,$633,$696,$766,$823
T13-T15,Thu-Sun,14-33 Days (W2),34-50%,34,50,,,T13,$538,$592,$652,$716,$788,$867,$932
T13-T15,Thu-Sun,14-33 Days (W2),50-100%,50,100,,,T14,$609,$670,$737,$810,$891,$981,"$1,053"
T13-T15,Fri-Sat,14-33 Days (W2),0-16%,0,16,,,T11,$504,$554,$609,$670,$738,$811,$871
T13-T15,Fri-Sat,14-33 Days (W2),17-33%,17,33,,,T12,$570,$627,$690,$760,$836,$919,$988
T13-T15,Fri-Sat,14-33 Days (W2),34-50%,34,50,,,T13,$646,$710,$782,$860,$946,"$1,040","$1,118"
T13-T15,Fri-Sat,14-33 Days (W2),50-100%,50,100,,,T14,$731,$804,$884,$972,"$1,070","$1,177","$1,264"
T13-T15,Mon-Wed,34-61 Days (W3),0-12%,0,12,,,T14,$475,$523,$575,$633,$696,$766,$823
T13-T15,Mon-Wed,34-61 Days (W3),13-33%,13,33,,,T15,$539,$592,$652,$717,$789,$867,$931
T13-T15,Mon-Wed,34-61 Days (W3),34-50%,34,50,,,T15,$555,$610,$671,$738,$812,$892,$959
T13-T15,Mon-Wed,34-61 Days (W3),51-70%,51,70,,,T16,$627,$690,$759,$835,$918,"$1,010","$1,085"
T13-T15,Mon-Wed,34-61 Days (W3),70-100%,70,100,,,T16,$644,$709,$780,$858,$943,"$1,038","$1,115"
T13-T15,Thu-Sun,34-61 Days (W3),0-12%,0,12,,,T14,$570,$628,$690,$759,$835,$919,$987
T13-T15,Thu-Sun,34-61 Days (W3),13-33%,13,33,,,T15,$647,$711,$782,$860,$946,"$1,041","$1,118"
T13-T15,Thu-Sun,34-61 Days (W3),34-50%,34,50,,,T15,$666,$732,$805,$885,$974,"$1,072","$1,151"
T13-T15,Thu-Sun,34-61 Days (W3),51-70%,51,70,,,T16,$752,$828,$910,"$1,001","$1,102","$1,212","$1,302"
T13-T15,Thu-Sun,34-61 Days (W3),70-100%,70,100,,,T16,$773,$850,$935,"$1,029","$1,132","$1,245","$1,338"
T13-T15,Fri-Sat,34-61 Days (W3),0-12%,0,12,,,T14,$684,$754,$828,$911,"$1,002","$1,103","$1,185"
T13-T15,Fri-Sat,34-61 Days (W3),13-33%,13,33,,,T15,$776,$853,$938,"$1,032","$1,136","$1,250","$1,342"
T13-T15,Fri-Sat,34-61 Days (W3),34-50%,34,50,,,T15,$799,$878,$966,"$1,062","$1,169","$1,286","$1,381"
T13-T15,Fri-Sat,34-61 Days (W3),51-70%,51,70,,,T16,$903,$993,"$1,092","$1,202","$1,323","$1,454","$1,562"
T13-T15,Fri-Sat,34-61 Days (W3),70-100%,70,100,,,T16,$928,"$1,020","$1,123","$1,235","$1,359","$1,495","$1,605"
T13-T15,Mon-Wed,62-99 Days (W4),0-28%,0,28,,,T13,$441,$485,$534,$587,$646,$710,$763
T13-T15,Mon-Wed,62-99 Days (W4),29-50%,29,50,,,T14,$500,$550,$605,$665,$732,$806,$865
T13-T15,Mon-Wed,62-99 Days (W4),50-100%,50,100,,,T15,$566,$622,$685,$753,$829,$911,$979
T13-T15,Thu-Sun,62-99 Days (W4),0-28%,0,28,,,T13,$529,$582,$641,$705,$775,$853,$916
T13-T15,Thu-Sun,62-99 Days (W4),29-50%,29,50,,,T14,$600,$660,$726,$798,$878,$966,"$1,038"
T13-T15,Thu-Sun,62-99 Days (W4),50-100%,50,100,,,T15,$679,$747,$822,$904,$994,"$1,094","$1,175"
T13-T15,Fri-Sat,62-99 Days (W4),0-28%,0,28,,,T13,$635,$699,$769,$846,$930,"$1,023","$1,100"
T13-T15,Fri-Sat,62-99 Days (W4),29-50%,29,50,,,T14,$720,$792,$871,$958,"$1,054","$1,160","$1,246"
T13-T15,Fri-Sat,62-99 Days (W4),50-100%,50,100,,,T15,$815,$896,$986,"$1,085","$1,194","$1,313","$1,410"
T13-T15,Mon-Wed,>100 Days (W5),0-25%,0,25,,,T13,$450,$495,$545,$599,$659,$725,$779
T13-T15,Mon-Wed,>100 Days (W5),26-40%,26,40,,,T14,$510,$561,$617,$679,$747,$822,$883
T13-T15,Mon-Wed,>100 Days (W5),41-80%,41,80,,,T15,$578,$635,$699,$768,$846,$930,$999
T13-T15,Mon-Wed,>100 Days (W5),80-100%,80,100,,,T16,$653,$718,$790,$870,$956,"$1,052","$1,130"
T13-T15,Thu-Sun,>100 Days (W5),0-25%,0,25,,,T13,$540,$594,$654,$719,$791,$870,$935
T13-T15,Thu-Sun,>100 Days (W5),26-40%,26,40,,,T14,$612,$674,$741,$815,$896,$986,"$1,059"
T13-T15,Thu-Sun,>100 Days (W5),41-80%,41,80,,,T15,$693,$762,$838,$922,"$1,014","$1,116","$1,199"
T13-T15,Thu-Sun,>100 Days (W5),80-100%,80,100,,,T16,$784,$862,$948,"$1,043","$1,148","$1,262","$1,356"
T13-T15,Fri-Sat,>100 Days (W5),0-25%,0,25,,,T13,$648,$713,$785,$863,$949,"$1,044","$1,122"
T13-T15,Fri-Sat,>100 Days (W5),26-40%,26,40,,,T14,$734,$809,$889,$977,"$1,075","$1,183","$1,271"
T13-T15,Fri-Sat,>100 Days (W5),41-80%,41,80,,,T15,$832,$915,"$1,006","$1,107","$1,218","$1,340","$1,438"
T13-T15,Fri-Sat,>100 Days (W5),80-100%,80,100,,,T16,$941,"$1,034","$1,138","$1,252","$1,378","$1,515","$1,627"
