listing_id,date,price,currency,min_stay
203812___643772,2025-09-15,229,USD,1
203812___643772,2025-09-16,229,USD,1
203812___643772,2025-09-17,229,USD,1
203812___643772,2025-09-18,251,USD,1
203812___643772,2025-09-19,600,USD,2
203812___643772,2025-09-20,600,USD,2
203812___643772,2025-09-21,274,USD,1
203812___643772,2025-09-22,229,USD,1
203812___643772,2025-09-23,229,USD,1
203812___643772,2025-09-24,229,USD,1
203812___643772,2025-09-25,437,USD,1
203812___643772,2025-09-26,600,USD,1
203812___643772,2025-09-27,600,USD,1
203812___643772,2025-09-28,437,USD,1
203812___643772,2025-09-29,229,USD,1
203812___643772,2025-09-30,229,USD,1
203812___643772,2025-10-01,229,USD,1
203812___643772,2025-10-02,644,USD,1
203812___643772,2025-10-03,811,USD,2
203812___643772,2025-10-04,811,USD,2
203812___643772,2025-10-05,644,USD,1
203812___643772,2025-10-06,381,USD,1
203812___643772,2025-10-07,381,USD,1
203812___643772,2025-10-08,381,USD,1
203812___643772,2025-10-09,701,USD,1
203812___643772,2025-10-10,1125,USD,2
203812___643772,2025-10-14,381,USD,1
203812___643772,2025-10-15,381,USD,1
203812___643772,2025-10-17,956,USD,2
203812___643772,2025-10-18,956,USD,2
203812___643772,2025-10-19,507,USD,2
203812___643772,2025-10-20,381,USD,2
203812___643772,2025-10-21,381,USD,2
203812___643772,2025-10-22,381,USD,2
203812___643772,2025-10-23,701,USD,2
203812___643772,2025-10-24,956,USD,2
203812___643772,2025-10-25,956,USD,2
203812___643772,2025-10-26,701,USD,2
203812___643772,2025-10-27,381,USD,2
203812___643772,2025-10-28,381,USD,2
203812___643772,2025-10-29,381,USD,2
203812___643772,2025-10-30,701,USD,2
203812___643772,2025-10-31,860,USD,2
203812___643772,2025-11-01,860,USD,2
203812___643772,2025-11-02,701,USD,2
203812___643772,2025-11-03,402,USD,2
203812___643772,2025-11-04,402,USD,2
203812___643772,2025-11-05,402,USD,2
203812___643772,2025-11-06,779,USD,2
203812___643772,2025-11-07,1125,USD,2
203812___643772,2025-11-08,1125,USD,2
203812___643772,2025-11-09,779,USD,2
203812___643772,2025-11-10,402,USD,2
203812___643772,2025-11-11,402,USD,2
203812___643772,2025-11-12,402,USD,2
203812___643772,2025-11-13,779,USD,2
203812___643772,2025-11-14,1125,USD,2
203812___643772,2025-11-15,1125,USD,2
203812___643772,2025-11-16,779,USD,2
203812___643772,2025-11-17,402,USD,2
203812___643772,2025-11-18,402,USD,2
203812___643772,2025-11-19,402,USD,2
203812___643772,2025-11-20,779,USD,2
203812___643772,2025-11-21,1125,USD,2
203812___643772,2025-11-22,1125,USD,2
203812___643772,2025-11-23,779,USD,2
203812___643772,2025-11-24,473,USD,2
203812___643772,2025-11-25,473,USD,2
203812___643772,2025-11-26,473,USD,2
203812___643772,2025-11-27,779,USD,2
203812___643772,2025-11-28,1250,USD,2
203812___643772,2025-11-29,1250,USD,2
203812___643772,2025-11-30,779,USD,2
203812___643772,2025-12-01,402,USD,2
203812___643772,2025-12-02,402,USD,2
203812___643772,2025-12-03,402,USD,2
203812___643772,2025-12-04,683,USD,2
203812___643772,2025-12-05,1128,USD,2
203812___643772,2025-12-06,1128,USD,2
203812___643772,2025-12-07,683,USD,2
203812___643772,2025-12-08,402,USD,2
203812___643772,2025-12-09,402,USD,2
203812___643772,2025-12-10,402,USD,2
203812___643772,2025-12-11,683,USD,2
203812___643772,2025-12-12,1128,USD,2
203812___643772,2025-12-13,1128,USD,2
203812___643772,2025-12-14,683,USD,2
203812___643772,2025-12-15,402,USD,2
203812___643772,2025-12-16,402,USD,2
203812___643772,2025-12-17,402,USD,2
203812___643772,2025-12-18,683,USD,2
203812___643772,2025-12-19,1128,USD,2
203812___643772,2025-12-20,1128,USD,2
203812___643772,2025-12-21,683,USD,2
203812___643772,2025-12-22,473,USD,2
203812___643772,2025-12-23,683,USD,2
203812___643772,2025-12-24,1250,USD,2
203812___643772,2025-12-25,1250,USD,2
203812___643772,2025-12-26,1250,USD,2
203812___643772,2025-12-27,1128,USD,2
203812___643772,2025-12-28,683,USD,2
203812___643772,2025-12-29,473,USD,2
203812___643772,2025-12-30,1250,USD,2
203812___643772,2025-12-31,1250,USD,2
203812___643772,2026-01-01,535,USD,2
203812___643772,2026-01-02,1000,USD,2
203812___643772,2026-01-03,1000,USD,2
203812___643772,2026-01-04,535,USD,2
203812___643772,2026-01-05,418,USD,2
203812___643772,2026-01-06,418,USD,2
203812___643772,2026-01-07,418,USD,2
203812___643772,2026-01-08,535,USD,2
203812___643772,2026-01-09,1000,USD,2
203812___643772,2026-01-10,1000,USD,2
203812___643772,2026-01-11,535,USD,2
203812___643772,2026-01-12,418,USD,2
203812___643772,2026-01-13,418,USD,2
203812___643772,2026-01-14,418,USD,2
203812___643772,2026-01-15,535,USD,2
203812___643772,2026-01-16,1101,USD,2
203812___643772,2026-01-17,1101,USD,2
203812___643772,2026-01-18,589,USD,2
203812___643772,2026-01-19,460,USD,2
203812___643772,2026-01-20,418,USD,2
203812___643772,2026-01-21,418,USD,2
203812___643772,2026-01-22,535,USD,2
203812___643772,2026-01-23,1000,USD,2
203812___643772,2026-01-24,1000,USD,2
203812___643772,2026-01-25,535,USD,2
203812___643772,2026-01-26,418,USD,2
203812___643772,2026-01-27,418,USD,2
203812___643772,2026-01-28,418,USD,2
203812___643772,2026-01-29,535,USD,2
203812___643772,2026-01-30,1000,USD,2
203812___643772,2026-01-31,1000,USD,2
203812___643772,2026-02-01,565,USD,2
203812___643772,2026-02-02,425,USD,2
203812___643772,2026-02-03,425,USD,2
203812___643772,2026-02-04,425,USD,2
203812___643772,2026-02-05,565,USD,2
203812___643772,2026-02-06,1204,USD,2
203812___643772,2026-02-07,1204,USD,2
203812___643772,2026-02-08,565,USD,2
203812___643772,2026-02-09,425,USD,2
203812___643772,2026-02-10,425,USD,2
203812___643772,2026-02-11,425,USD,2
203812___643772,2026-02-12,565,USD,2
203812___643772,2026-02-13,1925,USD,2
203812___643772,2026-02-14,1925,USD,2
