Reservation ID,Listing ID,PMS Name,Start Date,End Date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
3.41249E+12,203812___643760,cloudbeds,8/20/25,8/22/25,283,566,2,2/9/25,192
3.83798E+12,203812___643775,cloudbeds,7/18/25,7/20/25,504,1008,2,3/20/25,120
