Reservation ID,Listing ID,PMS Name,Start Date,End Date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
0918836677139,203812___362535,cloudbeds,5/2/24,5/5/24,601.6666666666666,1805,3,4/28/24,4
1.48666E+12,203812___362535,cloudbeds,5/9/24,5/11/24,779,1558,2,4/23/24,16
4.11167E+12,203812___362535,cloudbeds,4/26/24,4/28/24,892,1784,2,4/20/24,6
1.303E+12,203812___362535,cloudbeds,4/23/24,4/25/24,212,424,2,4/18/24,5
3.58125E+12,203812___362535,cloudbeds,4/19/24,4/21/24,554,1108,2,4/18/24,1
1.50738E+12,203812___362535,cloudbeds,5/17/24,5/19/24,899,1798,2,4/15/24,32
3.18413E+12,203812___362535,cloudbeds,4/14/24,4/16/24,190,380,2,4/14/24,0
1.90888E+12,203812___362535,cloudbeds,5/20/24,5/23/24,389,1167,3,4/13/24,37
8.5707E+12,203812___362535,cloudbeds,4/10/24,4/12/24,277,554,2,4/7/24,3
7.83076E+12,203812___362535,cloudbeds,4/12/24,4/14/24,1049,2098,2,4/6/24,6
1.76773E+12,203812___362535,cloudbeds,4/5/24,4/7/24,448,896,2,4/4/24,1
2.50861E+12,203812___362535,cloudbeds,5/5/24,5/7/24,424,848,2,4/1/24,34
1.48435E+12,203812___362535,cloudbeds,4/4/24,4/5/24,400,400,1,3/30/24,5
3.13181E+12,203812___362535,cloudbeds,3/29/24,3/30/24,467,467,1,3/27/24,2
4.95992E+12,203812___362535,cloudbeds,4/2/24,4/4/24,323,646,2,3/23/24,10
9.6501E+12,203812___362535,cloudbeds,3/28/24,3/29/24,500,500,1,3/21/24,7
5.00259E+12,203812___362535,cloudbeds,4/7/24,4/8/24,2500,2500,1,3/19/24,19
8.03775E+12,203812___362535,cloudbeds,3/22/24,3/24/24,509,1018,2,3/18/24,4
3.05661E+12,203812___362535,cloudbeds,3/17/24,3/18/24,377,377,1,3/14/24,3
3.59348E+12,203812___362535,cloudbeds,3/30/24,4/2/24,424.3333333333333,1273,3,3/13/24,17
3.01143E+12,203812___362535,cloudbeds,3/25/24,3/28/24,283,849,3,3/11/24,14
5.04536E+12,203812___362535,cloudbeds,3/14/24,3/15/24,576,576,1,3/11/24,3
3.05954E+12,203812___362535,cloudbeds,3/15/24,3/17/24,1172,2344,2,3/5/24,10
7.14897E+12,203812___362535,cloudbeds,3/2/24,3/4/24,351.5,703,2,2/26/24,5
3.63135E+12,203812___362535,cloudbeds,3/4/24,3/5/24,392,392,1,2/24/24,9
9.31675E+12,203812___362535,cloudbeds,3/13/24,3/14/24,267,267,1,2/22/24,20
1.32871E+12,203812___362535,cloudbeds,2/19/24,2/20/24,185,185,1,2/19/24,0
5.73968E+12,203812___362535,cloudbeds,2/26/24,2/29/24,255,765,3,2/17/24,9
9.51315E+12,203812___362535,cloudbeds,2/17/24,2/19/24,550,1100,2,2/12/24,5
0072796759346,203812___362535,cloudbeds,3/11/24,3/13/24,411,822,2,2/6/24,34
3.30018E+12,203812___362535,cloudbeds,2/14/24,2/15/24,356,356,1,1/26/24,19
2.95651E+12,203812___362535,cloudbeds,1/27/24,1/28/24,540,540,1,1/25/24,2
9.79649E+12,203812___362535,cloudbeds,2/4/24,2/6/24,280,560,2,1/23/24,12
4.59253E+12,203812___362535,cloudbeds,1/29/24,1/30/24,158,158,1,1/23/24,6
9.69337E+12,203812___362535,cloudbeds,2/23/24,2/25/24,412,824,2,1/21/24,33
0099367152210,203812___362535,cloudbeds,1/28/24,1/29/24,284,284,1,1/20/24,8
6.76079E+12,203812___362535,cloudbeds,2/7/24,2/9/24,209,418,2,1/20/24,18
9.64176E+12,203812___362535,cloudbeds,1/18/24,1/19/24,199,199,1,1/18/24,0
5.68027E+12,203812___362535,cloudbeds,1/19/24,1/20/24,439,439,1,1/15/24,4
5.00255E+12,203812___362535,cloudbeds,1/12/24,1/13/24,399,399,1,1/11/24,1
1.54731E+12,203812___362535,cloudbeds,1/24/24,1/27/24,433,1299,3,1/6/24,18
2.67784E+12,203812___362535,cloudbeds,1/7/24,1/8/24,227,227,1,1/5/24,2
8.91875E+12,203812___362535,cloudbeds,2/2/24,2/4/24,519,1038,2,12/29/23,35
2.01157E+12,203812___362535,cloudbeds,2/12/24,2/14/24,341,682,2,12/29/23,45
7.36009E+12,203812___362535,cloudbeds,3/9/24,3/11/24,639,1278,2,12/24/23,76
7.43749E+12,203812___362535,cloudbeds,12/29/23,12/31/23,772,1544,2,12/22/23,7
8.55973E+12,203812___362535,cloudbeds,1/3/24,1/5/24,295,590,2,12/20/23,14
4.68082E+12,203812___362535,cloudbeds,12/23/23,12/25/23,278.5,557,2,12/18/23,5
2.55183E+12,203812___362535,cloudbeds,1/8/24,1/11/24,167,501,3,12/18/23,21
4.2731E+12,203812___362535,cloudbeds,12/20/23,12/22/23,374,748,2,12/16/23,4
1.15395E+12,203812___362535,cloudbeds,12/31/23,1/2/24,386.5,773,2,12/13/23,18
7.09623E+12,203812___362535,cloudbeds,1/20/24,1/22/24,400.5,801,2,12/13/23,38
6.68167E+12,203812___362535,cloudbeds,12/17/23,12/19/23,293,586,2,12/12/23,5
0899290462038,203812___362535,cloudbeds,12/10/23,12/11/23,185,185,1,12/9/23,1
6.45858E+12,203812___362535,cloudbeds,12/12/23,12/13/23,223,223,1,12/8/23,4
2.44952E+12,203812___362535,cloudbeds,12/27/23,12/29/23,494,988,2,12/6/23,21
5.19273E+12,203812___362535,cloudbeds,1/30/24,2/1/24,197,394,2,12/6/23,55
9.51359E+12,203812___362535,cloudbeds,12/14/23,12/15/23,529,529,1,12/6/23,8
0937003557063,203812___362535,cloudbeds,12/1/23,12/2/23,490,490,1,12/1/23,0
0161522013697,203812___362535,cloudbeds,12/8/23,12/10/23,1099,2198,2,12/1/23,7
6.49395E+12,203812___362535,cloudbeds,1/2/24,1/3/24,217,217,1,11/29/23,34
