Reservation ID,Listing ID,PMS Name,Start Date,End Date,Nightly Amount,Rental Revenue,No. of Days,Booked Date,Lead Time
10868162,278915,ownerrez,8/4/24,8/6/24,343,686,2,5/31/24,65
10853390,278915,ownerrez,8/6/24,8/7/24,287,287,1,5/30/24,68
10834238,278915,ownerrez,8/16/24,8/18/24,581.03,1162.06,2,5/28/24,80
10815944,278915,ownerrez,6/23/24,6/24/24,455,455,1,5/25/24,29
10814602,278915,ownerrez,5/25/24,5/27/24,399,798,2,5/25/24,0
10802007,278915,ownerrez,8/1/24,8/2/24,269,269,1,5/23/24,70
10796161,278915,ownerrez,5/24/24,5/25/24,499,499,1,5/22/24,2
10758471,278915,ownerrez,8/13/24,8/15/24,287,574,2,5/18/24,87
10756536,278915,ownerrez,9/19/24,9/21/24,449,898,2,5/18/24,124
10725969,278915,ownerrez,5/15/24,5/17/24,212,424,2,5/14/24,1
10616879,278915,ownerrez,8/2/24,8/4/24,599,1198,2,5/1/24,93
10517824,278915,ownerrez,5/12/24,5/13/24,379,379,1,4/19/24,23
10438145,278915,ownerrez,5/27/24,5/29/24,379,758,2,4/10/24,47
10427631,278915,ownerrez,9/6/24,9/9/24,432.3333333,1297,3,4/8/24,151
10388610,278915,ownerrez,5/5/24,5/7/24,336.5,673,2,4/3/24,32
10380485,278915,ownerrez,4/24/24,4/25/24,239,239,1,4/2/24,22
10377946,278915,ownerrez,4/9/24,4/10/24,239,239,1,4/2/24,7
10368148,278915,ownerrez,6/24/24,6/27/24,239,717,3,4/1/24,84
10352169,278915,ownerrez,4/6/24,4/9/24,599,1797,3,3/29/24,8
10351342,278915,ownerrez,5/13/24,5/15/24,239,478,2,3/29/24,45
10348600,278915,ownerrez,4/11/24,4/12/24,249,249,1,3/29/24,13
10344391,278915,ownerrez,6/17/24,6/21/24,254,1016,4,3/28/24,81
10340429,278915,ownerrez,6/21/24,6/23/24,566,1132,2,3/28/24,85
10334502,278915,ownerrez,7/12/24,7/14/24,399,798,2,3/27/24,107
