tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1
T7-T9,Fri-Sat,60-120 Days (W6),0-25,0,25,,,T5,383
T7-T9,Fri-Sat,60-120 Days (W6),26-50,26,50,,,T6,434
T7-T9,Fri-Sat,60-120 Days (W6),51-75,51,75,,,T8,472
T7-T9,Fri-Sat,60-120 Days (W6),76-100,76,100,,,T10,523
T7-T9,Fri-Sat,46-59 Days (W5),0-25,0,25,,,T5,375
T7-T9,Fri-Sat,46-59 Days (W5),26-50,26,50,,,T6,425
T7-T9,Fri-Sat,46-59 Days (W5),51-75,51,75,,,T7,448
T7-T9,Fri-Sat,46-59 Days (W5),76-100,76,100,,,T9,490
T7-T9,Fri-Sat,31-45 Days (W4),0-25,0,25,,,T5,368
T7-T9,Fri-Sat,31-45 Days (W4),26-50,26,50,,,T6,417
T7-T9,Fri-Sat,31-45 Days (W4),51-75,51,75,,,T7,439
T7-T9,Fri-Sat,31-45 Days (W4),76-100,76,100,,,T8,465
T7-T9,Fri-Sat,22-30 Days (W3),0-25,0,25,,,T5,360
T7-T9,Fri-Sat,22-30 Days (W3),26-50,26,50,,,T6,408
T7-T9,Fri-Sat,22-30 Days (W3),51-75,51,75,,,T7,429
T7-T9,Fri-Sat,22-30 Days (W3),76-100,76,100,,,T8,455
T7-T9,Fri-Sat,10-21 Days (W2),0-25,0,25,,,T5,352
T7-T9,Fri-Sat,10-21 Days (W2),26-50,26,50,,,T6,399
T7-T9,Fri-Sat,10-21 Days (W2),51-75,51,75,,,T7,420
T7-T9,Fri-Sat,10-21 Days (W2),76-100,76,100,,,T8,446
T7-T9,Fri-Sat,0-9 Days (W1),0-25,0,25,,,T5,344
T7-T9,Fri-Sat,0-9 Days (W1),26-50,26,50,,,T6,390
T7-T9,Fri-Sat,0-9 Days (W1),51-75,51,75,,,T7,411
T7-T9,Fri-Sat,0-9 Days (W1),76-100,76,100,,,T8,436
T10-T12,Fri-Sat,>120 Days (W7),0-25,0,25,,,T8,450
T10-T12,Fri-Sat,>120 Days (W7),26-50,26,50,,,T9,487
T10-T12,Fri-Sat,>120 Days (W7),51-75,51,75,,,T11,540
T10-T12,Fri-Sat,>120 Days (W7),76-100,76,100,,,T13,626
T10-T12,Fri-Sat,60-120 Days (W6),0-25,0,25,,,T7,427
T10-T12,Fri-Sat,60-120 Days (W6),26-50,26,50,,,T8,463
T10-T12,Fri-Sat,60-120 Days (W6),51-75,51,75,,,T10,509
T10-T12,Fri-Sat,60-120 Days (W6),76-100,76,100,,,T12,567
T10-T12,Fri-Sat,46-59 Days (W5),0-25,0,25,,,T7,419
T10-T12,Fri-Sat,46-59 Days (W5),26-50,26,50,,,T8,454
T10-T12,Fri-Sat,46-59 Days (W5),51-75,51,75,,,T9,477
T10-T12,Fri-Sat,46-59 Days (W5),76-100,76,100,,,T11,533
T10-T12,Fri-Sat,31-45 Days (W4),0-25,0,25,,,T7,410
T10-T12,Fri-Sat,31-45 Days (W4),26-50,26,50,,,T8,444
T10-T12,Fri-Sat,31-45 Days (W4),51-75,51,75,,,T9,467
T10-T12,Fri-Sat,31-45 Days (W4),76-100,76,100,,,T10,501
T10-T12,Fri-Sat,22-30 Days (W3),0-25,0,25,,,T7,401
T10-T12,Fri-Sat,22-30 Days (W3),26-50,26,50,,,T8,435
T10-T12,Fri-Sat,22-30 Days (W3),51-75,51,75,,,T9,457
T10-T12,Fri-Sat,22-30 Days (W3),76-100,76,100,,,T10,491
T10-T12,Fri-Sat,10-21 Days (W2),0-25,0,25,,,T7,392
T10-T12,Fri-Sat,10-21 Days (W2),26-50,26,50,,,T8,425
T10-T12,Fri-Sat,10-21 Days (W2),51-75,51,75,,,T9,447
T10-T12,Fri-Sat,10-21 Days (W2),76-100,76,100,,,T10,480
T10-T12,Fri-Sat,0-9 Days (W1),0-25,0,25,0-1,,T5,344
T10-T12,Fri-Sat,0-9 Days (W1),0-25,0,25,3-Feb,,T6,375
T10-T12,Fri-Sat,0-9 Days (W1),0-25,0,25,6-Apr,,T7,391
T10-T12,Fri-Sat,0-9 Days (W1),0-25,0,25,9-Jul,,T8,408
T10-T12,Fri-Sat,0-9 Days (W1),26-50,26,50,,,T9,429
T10-T12,Fri-Sat,0-9 Days (W1),51-75,51,75,,,T10,457
T10-T12,Fri-Sat,0-9 Days (W1),76-100,76,100,,,T11,489
T13-T15,Fri-Sat,>120 Days (W7),0-25,0,25,,,T10,485
T13-T15,Fri-Sat,>120 Days (W7),26-50,26,50,,,T11,530
T13-T15,Fri-Sat,>120 Days (W7),51-75,51,75,,,T13,609
T13-T15,Fri-Sat,>120 Days (W7),76-100,76,100,,,T15,721
T13-T15,Fri-Sat,60-120 Days (W6),0-25,0,25,,,T9,455
T13-T15,Fri-Sat,60-120 Days (W6),26-50,26,50,,,T10,499
T13-T15,Fri-Sat,60-120 Days (W6),51-75,51,75,,,T12,552
T13-T15,Fri-Sat,60-120 Days (W6),76-100,76,100,,,T14,660
T13-T15,Fri-Sat,46-59 Days (W5),0-25,0,25,,,T8,432
T13-T15,Fri-Sat,46-59 Days (W5),26-50,26,50,,,T9,468
T13-T15,Fri-Sat,46-59 Days (W5),51-75,51,75,,,T11,519
T13-T15,Fri-Sat,46-59 Days (W5),76-100,76,100,,,T13,601
T13-T15,Fri-Sat,31-45 Days (W4),0-25,0,25,,,T8,423
T13-T15,Fri-Sat,31-45 Days (W4),26-50,26,50,,,T9,458
T13-T15,Fri-Sat,31-45 Days (W4),51-75,51,75,,,T10,488
T13-T15,Fri-Sat,31-45 Days (W4),76-100,76,100,,,T12,544
T13-T15,Fri-Sat,22-30 Days (W3),0-25,0,25,,,T8,414
T13-T15,Fri-Sat,22-30 Days (W3),26-50,26,50,,,T9,448
T13-T15,Fri-Sat,22-30 Days (W3),51-75,51,75,,,T10,477
T13-T15,Fri-Sat,22-30 Days (W3),76-100,76,100,,,T11,511
T13-T15,Fri-Sat,10-21 Days (W2),0-25,0,25,,,T7,392
T13-T15,Fri-Sat,10-21 Days (W2),26-50,26,50,,,T8,425
T13-T15,Fri-Sat,10-21 Days (W2),51-75,51,75,,,T9,447
T13-T15,Fri-Sat,10-21 Days (W2),76-100,76,100,,,T10,480
T13-T15,Fri-Sat,0-9 Days (W1),0-25,0,25,0-1,,T6,371
T13-T15,Fri-Sat,0-9 Days (W1),0-25,0,25,3-Feb,,T7,388
T13-T15,Fri-Sat,0-9 Days (W1),0-25,0,25,6-Apr,,T8,404
T13-T15,Fri-Sat,0-9 Days (W1),0-25,0,25,9-Jul,,T9,421
T13-T15,Fri-Sat,0-9 Days (W1),26-50,26,50,,,T10,448
T13-T15,Fri-Sat,0-9 Days (W1),51-75,51,75,,,T11,476
T13-T15,Fri-Sat,0-9 Days (W1),76-100,76,100,,,T13,551
