tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1
T7-T9,Mon-Wed,0-9 Days (W1),0-25,0,25,,,T5,175
T7-T9,Mon-Wed,0-9 Days (W1),26-50,26,50,,,T6,197
T7-T9,Mon-Wed,0-9 Days (W1),51-75,51,75,,,T7,205
T7-T9,Mon-Wed,0-9 Days (W1),76-100,76,100,,,T8,217
T10-T12,Mon-Wed,>120 Days (W7),0-25,0,25,,,T8,224
T10-T12,Mon-Wed,>120 Days (W7),26-50,26,50,,,T9,240
T10-T12,Mon-Wed,>120 Days (W7),51-75,51,75,,,T11,263
T10-T12,Mon-Wed,>120 Days (W7),76-100,76,100,,,T13,311
T10-T12,Mon-Wed,60-120 Days (W6),0-25,0,25,,,T7,214
T10-T12,Mon-Wed,60-120 Days (W6),26-50,26,50,,,T8,230
T10-T12,Mon-Wed,60-120 Days (W6),51-75,51,75,,,T10,250
T10-T12,Mon-Wed,60-120 Days (W6),76-100,76,100,,,T12,275
T10-T12,Mon-Wed,46-59 Days (W5),0-25,0,25,,,T7,209
T10-T12,Mon-Wed,46-59 Days (W5),26-50,26,50,,,T8,226
T10-T12,Mon-Wed,46-59 Days (W5),51-75,51,75,,,T9,235
T10-T12,Mon-Wed,46-59 Days (W5),76-100,76,100,,,T11,260
T10-T12,Mon-Wed,31-45 Days (W4),0-25,0,25,,,T7,205
T10-T12,Mon-Wed,31-45 Days (W4),26-50,26,50,,,T8,221
T10-T12,Mon-Wed,31-45 Days (W4),51-75,51,75,,,T9,230
T10-T12,Mon-Wed,31-45 Days (W4),76-100,76,100,,,T10,246
T10-T12,Mon-Wed,22-30 Days (W3),0-25,0,25,,,T7,201
T10-T12,Mon-Wed,22-30 Days (W3),26-50,26,50,,,T8,216
T10-T12,Mon-Wed,22-30 Days (W3),51-75,51,75,,,T9,225
T10-T12,Mon-Wed,22-30 Days (W3),76-100,76,100,,,T10,241
T10-T12,Mon-Wed,10-21 Days (W2),0-25,0,25,,,T7,196
T10-T12,Mon-Wed,10-21 Days (W2),26-50,26,50,,,T8,212
T10-T12,Mon-Wed,10-21 Days (W2),51-75,51,75,,,T9,221
T10-T12,Mon-Wed,10-21 Days (W2),76-100,76,100,,,T10,236
T10-T12,Mon-Wed,0-9 Days (W1),0-25,0,25,0-1,,T5,175
T10-T12,Mon-Wed,0-9 Days (W1),0-25,0,25,3-Feb,,T6,189
T10-T12,Mon-Wed,0-9 Days (W1),0-25,0,25,6-Apr,,T7,196
T10-T12,Mon-Wed,0-9 Days (W1),0-25,0,25,9-Jul,,T8,203
T10-T12,Mon-Wed,0-9 Days (W1),26-50,26,50,,,T9,212
T10-T12,Mon-Wed,0-9 Days (W1),51-75,51,75,,,T10,224
T10-T12,Mon-Wed,0-9 Days (W1),76-100,76,100,,,T11,238
T13-T15,Mon-Wed,>120 Days (W7),0-25,0,25,,,T10,238
T13-T15,Mon-Wed,>120 Days (W7),26-50,26,50,,,T11,258
T13-T15,Mon-Wed,>120 Days (W7),51-75,51,75,,,T13,303
T13-T15,Mon-Wed,>120 Days (W7),76-100,76,100,,,T15,373
T13-T15,Mon-Wed,60-120 Days (W6),0-25,0,25,,,T9,224
T13-T15,Mon-Wed,60-120 Days (W6),26-50,26,50,,,T10,245
T13-T15,Mon-Wed,60-120 Days (W6),51-75,51,75,,,T12,267
T13-T15,Mon-Wed,60-120 Days (W6),76-100,76,100,,,T14,335
T13-T15,Mon-Wed,46-59 Days (W5),0-25,0,25,,,T8,215
T13-T15,Mon-Wed,46-59 Days (W5),26-50,26,50,,,T9,231
T13-T15,Mon-Wed,46-59 Days (W5),51-75,51,75,,,T11,253
T13-T15,Mon-Wed,46-59 Days (W5),76-100,76,100,,,T13,299
T13-T15,Mon-Wed,31-45 Days (W4),0-25,0,25,,,T8,211
T13-T15,Mon-Wed,31-45 Days (W4),26-50,26,50,,,T9,226
T13-T15,Mon-Wed,31-45 Days (W4),51-75,51,75,,,T10,239
T13-T15,Mon-Wed,31-45 Days (W4),76-100,76,100,,,T12,264
T13-T15,Mon-Wed,22-30 Days (W3),0-25,0,25,,,T8,206
T13-T15,Mon-Wed,22-30 Days (W3),26-50,26,50,,,T9,221
T13-T15,Mon-Wed,22-30 Days (W3),51-75,51,75,,,T10,234
T13-T15,Mon-Wed,22-30 Days (W3),76-100,76,100,,,T11,249
T13-T15,Mon-Wed,10-21 Days (W2),0-25,0,25,,,T7,196
T13-T15,Mon-Wed,10-21 Days (W2),26-50,26,50,,,T8,212
T13-T15,Mon-Wed,10-21 Days (W2),51-75,51,75,,,T9,221
T13-T15,Mon-Wed,10-21 Days (W2),76-100,76,100,,,T10,236
T13-T15,Mon-Wed,0-9 Days (W1),0-25,0,25,0-1,,T6,187
T13-T15,Mon-Wed,0-9 Days (W1),0-25,0,25,3-Feb,,T7,194
T13-T15,Mon-Wed,0-9 Days (W1),0-25,0,25,6-Apr,,T8,201
T13-T15,Mon-Wed,0-9 Days (W1),0-25,0,25,9-Jul,,T9,208
T13-T15,Mon-Wed,0-9 Days (W1),26-50,26,50,,,T10,220
T13-T15,Mon-Wed,0-9 Days (W1),51-75,51,75,,,T11,232
T13-T15,Mon-Wed,0-9 Days (W1),76-100,76,100,,,T12 ,
T1-T3,Thu-Sun,>120 Days (W7),0-25,0,25,,,T1,182
T1-T3,Thu-Sun,>120 Days (W7),26-50,26,50,,,T2,200
T1-T3,Thu-Sun,>120 Days (W7),51-75,51,75,,,T6,286
T1-T3,Thu-Sun,>120 Days (W7),76-100,76,100,,,T8,316
T1-T3,Thu-Sun,60-120 Days (W6),0-25,0,25,,,T1,178
T1-T3,Thu-Sun,60-120 Days (W6),26-50,26,50,,,T2,196
T1-T3,Thu-Sun,60-120 Days (W6),51-75,51,75,,,T5,256
T1-T3,Thu-Sun,60-120 Days (W6),76-100,76,100,,,T7,299
T1-T3,Thu-Sun,46-59 Days (W5),0-25,0,25,,,T1,175
T1-T3,Thu-Sun,46-59 Days (W5),26-50,26,50,,,T2,192
T1-T3,Thu-Sun,46-59 Days (W5),51-75,51,75,,,T4,227
T1-T3,Thu-Sun,46-59 Days (W5),76-100,76,100,,,T6,282
T1-T3,Thu-Sun,31-45 Days (W4),0-25,0,25,,,T1,171
T1-T3,Thu-Sun,31-45 Days (W4),26-50,26,50,,,T2,188
T1-T3,Thu-Sun,31-45 Days (W4),51-75,51,75,,,T3,199
T1-T3,Thu-Sun,31-45 Days (W4),76-100,76,100,,,T5,252
T1-T3,Thu-Sun,22-30 Days (W3),0-25,0,25,,,T1,167
T1-T3,Thu-Sun,22-30 Days (W3),26-50,26,50,,,T2,184
T1-T3,Thu-Sun,22-30 Days (W3),51-75,51,75,,,T3,195
T1-T3,Thu-Sun,22-30 Days (W3),76-100,76,100,,,T4,224
T1-T3,Thu-Sun,10-21 Days (W2),0-25,0,25,,,T1,164
T1-T3,Thu-Sun,10-21 Days (W2),26-50,26,50,,,T2,180
T1-T3,Thu-Sun,10-21 Days (W2),51-75,51,75,,,T3,191
T1-T3,Thu-Sun,10-21 Days (W2),76-100,76,100,,,T4,219
T1-T3,Thu-Sun,0-9 Days (W1),0-25,0,25,,,T1,160
T1-T3,Thu-Sun,0-9 Days (W1),26-50,26,50,,,T2,176
T1-T3,Thu-Sun,0-9 Days (W1),51-75,51,75,,,T3,186
T1-T3,Thu-Sun,0-9 Days (W1),76-100,76,100,,,T4,214
T4-T6,Thu-Sun,>120 Days (W7),0-25,0,25,,,T3,198
T4-T6,Thu-Sun,>120 Days (W7),26-50,26,50,,,T4,232
T4-T6,Thu-Sun,>120 Days (W7),51-75,51,75,,,T7,296
T4-T6,Thu-Sun,>120 Days (W7),76-100,76,100,,,T9,327
T4-T6,Thu-Sun,60-120 Days (W6),0-25,0,25,,,T3,194
T4-T6,Thu-Sun,60-120 Days (W6),26-50,26,50,,,T4,227
T4-T6,Thu-Sun,60-120 Days (W6),51-75,51,75,,,T6,280
T4-T6,Thu-Sun,60-120 Days (W6),76-100,76,100,,,T8,309
T4-T6,Thu-Sun,46-59 Days (W5),0-25,0,25,,,T3,190
T4-T6,Thu-Sun,46-59 Days (W5),26-50,26,50,,,T4,223
T4-T6,Thu-Sun,46-59 Days (W5),51-75,51,75,,,T5,251
T4-T6,Thu-Sun,46-59 Days (W5),76-100,76,100,,,T7,293
T4-T6,Thu-Sun,31-45 Days (W4),0-25,0,25,,,T3,186
T4-T6,Thu-Sun,31-45 Days (W4),26-50,26,50,,,T4,218
T4-T6,Thu-Sun,31-45 Days (W4),51-75,51,75,,,T5,245
T4-T6,Thu-Sun,31-45 Days (W4),76-100,76,100,,,T6,276
T4-T6,Thu-Sun,22-30 Days (W3),0-25,0,25,,,T3,182
T4-T6,Thu-Sun,22-30 Days (W3),26-50,26,50,,,T4,213
T4-T6,Thu-Sun,22-30 Days (W3),51-75,51,75,,,T5,240
T4-T6,Thu-Sun,22-30 Days (W3),76-100,76,100,,,T6,270
T4-T6,Thu-Sun,10-21 Days (W2),0-25,0,25,,,T3,178
T4-T6,Thu-Sun,10-21 Days (W2),26-50,26,50,,,T4,209
T4-T6,Thu-Sun,10-21 Days (W2),51-75,51,75,,,T5,235
T4-T6,Thu-Sun,10-21 Days (W2),76-100,76,100,,,T6,264
T4-T6,Thu-Sun,0-9 Days (W1),0-25,0,25,,,T3,174
T4-T6,Thu-Sun,0-9 Days (W1),26-50,26,50,,,T4,204
T4-T6,Thu-Sun,0-9 Days (W1),51-75,51,75,,,T5,230
T4-T6,Thu-Sun,0-9 Days (W1),76-100,76,100,,,T6,258
T7-T9,Thu-Sun,>120 Days (W7),0-25,0,25,,,T5,244
T7-T9,Thu-Sun,>120 Days (W7),26-50,26,50,,,T6,280
T7-T9,Thu-Sun,>120 Days (W7),51-75,51,75,,,T9,318
T7-T9,Thu-Sun,>120 Days (W7),76-100,76,100,,,T11,362
T7-T9,Thu-Sun,60-120 Days (W6),0-25,0,25,,,T5,239
T7-T9,Thu-Sun,60-120 Days (W6),26-50,26,50,,,T6,275
T7-T9,Thu-Sun,60-120 Days (W6),51-75,51,75,,,T8,301
T7-T9,Thu-Sun,60-120 Days (W6),76-100,76,100,,,T10,337
T7-T9,Thu-Sun,46-59 Days (W5),0-25,0,25,,,T5,234
T7-T9,Thu-Sun,46-59 Days (W5),26-50,26,50,,,T6,269
T7-T9,Thu-Sun,46-59 Days (W5),51-75,51,75,,,T7,285
T7-T9,Thu-Sun,46-59 Days (W5),76-100,76,100,,,T9,314
T7-T9,Thu-Sun,31-45 Days (W4),0-25,0,25,,,T5,229
T7-T9,Thu-Sun,31-45 Days (W4),26-50,26,50,,,T6,264
T7-T9,Thu-Sun,31-45 Days (W4),51-75,51,75,,,T7,279
T7-T9,Thu-Sun,31-45 Days (W4),76-100,76,100,,,T8,297
T7-T9,Thu-Sun,22-30 Days (W3),0-25,0,25,,,T5,224
T7-T9,Thu-Sun,22-30 Days (W3),26-50,26,50,,,T6,258
T7-T9,Thu-Sun,22-30 Days (W3),51-75,51,75,,,T7,273
T7-T9,Thu-Sun,22-30 Days (W3),76-100,76,100,,,T8,290
T7-T9,Thu-Sun,10-21 Days (W2),0-25,0,25,,,T5,220
T7-T9,Thu-Sun,10-21 Days (W2),26-50,26,50,,,T6,252
T7-T9,Thu-Sun,10-21 Days (W2),51-75,51,75,,,T7,267
T7-T9,Thu-Sun,10-21 Days (W2),76-100,76,100,,,T8,284
