tier_group,day_group,booking_window,Occupancy Band,occupancy_min_pct,occupancy_max_pct,Urgency Breakdown,Tier after movement scale,Calculated Tier,rate_1,rate_2,rate_3,rate_4
T1-T3,Mon-Wed,15-29 Days (W3),0-25%,0,25,,,T1,$169,$195,$204,$235
T1-T3,Thu-Sun,15-29 Days (W3),0-25%,0,25,,,T1,$186,$214,$225,$258
T1-T3,Fri-Sat,15-29 Days (W3),0-25%,0,25,,,T1,$271,$311,$327,$376
T1-T3,Mon-Wed,15-29 Days (W3),26-40%,26,40,,,T2,$196,$225,$236,$272
T1-T3,Thu-Sun,15-29 Days (W3),26-40%,26,40,,,T2,$216,$248,$260,$299
T1-T3,Fri-Sat,15-29 Days (W3),26-40%,26,40,,,T2,$313,$359,$378,$435
T1-T3,Mon-Wed,15-29 Days (W3),41-55%,41,55,,,T3,$223,$257,$270,$311
T1-T3,Thu-Sun,15-29 Days (W3),41-55%,41,55,,,T3,$247,$284,$298,$343
T1-T3,Fri-Sat,15-29 Days (W3),41-55%,41,55,,,T3,$357,$411,$431,$496
T1-T3,Mon-Wed,15-29 Days (W3),56-70%,56,70,,,T4,$257,$296,$310,$357
T1-T3,Thu-Sun,15-29 Days (W3),56-70%,56,70,,,T4,$286,$329,$345,$398
T1-T3,Fri-Sat,15-29 Days (W3),56-70%,56,70,,,T4,$412,$473,$497,$572
T1-T3,Mon-Wed,15-29 Days (W3),71-82%,71,82,,,T6,$323,$372,$391,$450
T1-T3,Thu-Sun,15-29 Days (W3),71-82%,71,82,,,T6,$361,$415,$436,$501
T1-T3,Fri-Sat,15-29 Days (W3),71-82%,71,82,,,T6,$518,$596,$625,$719
T1-T3,Mon-Wed,15-29 Days (W3),83-100%,83,100,,,T7,$368,$423,$444,$511
T1-T3,Thu-Sun,15-29 Days (W3),83-100%,83,100,,,T7,$413,$475,$498,$573
T1-T3,Fri-Sat,15-29 Days (W3),83-100%,83,100,,,T7,$588,$677,$710,$817
T1-T3,Mon-Wed,7-14 Days (W2),0-25%,0,25,,,T1,$166,$190,$200,$230
T1-T3,Thu-Sun,7-14 Days (W2),0-25%,0,25,,,T1,$182,$210,$220,$253
T1-T3,Fri-Sat,7-14 Days (W2),0-25%,0,25,,,T1,$265,$305,$320,$368
T1-T3,Mon-Wed,7-14 Days (W2),26-40%,26,40,,,T2,$191,$220,$231,$266
T1-T3,Thu-Sun,7-14 Days (W2),26-40%,26,40,,,T2,$211,$243,$255,$293
T1-T3,Fri-Sat,7-14 Days (W2),26-40%,26,40,,,T2,$306,$352,$370,$425
T1-T3,Mon-Wed,7-14 Days (W2),41-60%,41,60,,,T3,$218,$252,$264,$304
T1-T3,Thu-Sun,7-14 Days (W2),41-60%,41,60,,,T3,$242,$278,$292,$335
T1-T3,Fri-Sat,7-14 Days (W2),41-60%,41,60,,,T3,$349,$402,$422,$486
T1-T3,Mon-Wed,7-14 Days (W2),61-75%,61,75,,,T3,$225,$259,$272,$313
T1-T3,Thu-Sun,7-14 Days (W2),61-75%,61,75,,,T3,$249,$286,$300,$345
T1-T3,Fri-Sat,7-14 Days (W2),61-75%,61,75,,,T3,$359,$413,$434,$499
T1-T3,Mon-Wed,7-14 Days (W2),76-82%,76,82,,,T4,$259,$298,$312,$359
T1-T3,Thu-Sun,7-14 Days (W2),76-82%,76,82,,,T4,$287,$331,$347,$400
T1-T3,Fri-Sat,7-14 Days (W2),76-82%,76,82,,,T4,$414,$476,$500,$575
T1-T3,Mon-Wed,7-14 Days (W2),83-100%,83,100,,,T4,$266,$306,$321,$368
T1-T3,Thu-Sun,7-14 Days (W2),83-100%,83,100,,,T4,$295,$340,$357,$411
T1-T3,Fri-Sat,7-14 Days (W2),83-100%,83,100,,,T4,$425,$489,$513,$590
T1-T3,Mon-Wed,0-6 Days (W1),0-25%,0,25,,,T1,$162,$186,$195,$225
T1-T3,Thu-Sun,0-6 Days (W1),0-25%,0,25,,,T1,$178,$205,$215,$248
T1-T3,Fri-Sat,0-6 Days (W1),0-25%,0,25,,,T1,$259,$298,$313,$360
T1-T3,Mon-Wed,0-6 Days (W1),26-40%,26,40,,,T2,$187,$215,$226,$260
T1-T3,Thu-Sun,0-6 Days (W1),26-40%,26,40,,,T2,$207,$237,$249,$286
T1-T3,Fri-Sat,0-6 Days (W1),26-40%,26,40,,,T2,$299,$344,$362,$416
T1-T3,Mon-Wed,0-6 Days (W1),41-55%,41,55,,,T3,$214,$246,$259,$298
T1-T3,Thu-Sun,0-6 Days (W1),41-55%,41,55,,,T3,$237,$272,$285,$328
T1-T3,Fri-Sat,0-6 Days (W1),41-55%,41,55,,,T3,$342,$393,$413,$475
T1-T3,Mon-Wed,0-6 Days (W1),56-70%,56,70,,,T3,$220,$253,$266,$306
T1-T3,Thu-Sun,0-6 Days (W1),56-70%,56,70,,,T3,$243,$280,$293,$337
T1-T3,Fri-Sat,0-6 Days (W1),56-70%,56,70,,,T3,$351,$404,$425,$489
T1-T3,Mon-Wed,0-6 Days (W1),71-82%,71,82,,,T4,$253,$291,$305,$351
T1-T3,Thu-Sun,0-6 Days (W1),71-82%,71,82,,,T4,$281,$324,$340,$391
T1-T3,Fri-Sat,0-6 Days (W1),71-82%,71,82,,,T4,$405,$466,$489,$562
T1-T3,Mon-Wed,0-6 Days (W1),83-100%,83,100,,,T4,$260,$299,$314,$360
T1-T3,Thu-Sun,0-6 Days (W1),83-100%,83,100,,,T4,$289,$332,$349,$402
T1-T3,Fri-Sat,0-6 Days (W1),83-100%,83,100,,,T4,$416,$478,$502,$578
T4-T6,Mon-Wed,>90 Days (W6),0-15%,0,15,,,T4,$251,$289,$303,$348
T4-T6,Thu-Sun,>90 Days (W6),0-15%,0,15,,,T4,$279,$321,$337,$388
T4-T6,Fri-Sat,>90 Days (W6),0-15%,0,15,,,T4,$402,$462,$485,$558
T4-T6,Mon-Wed,>90 Days (W6),16-35%,16,35,,,T5,$287,$331,$347,$400
T4-T6,Thu-Sun,>90 Days (W6),16-35%,16,35,,,T5,$320,$369,$387,$446
T4-T6,Fri-Sat,>90 Days (W6),16-35%,16,35,,,T5,$460,$529,$556,$640
T4-T6,Mon-Wed,>90 Days (W6),36-50%,36,50,,,T6,$325,$374,$393,$453
T4-T6,Thu-Sun,>90 Days (W6),36-50%,36,50,,,T6,$364,$418,$439,$505
T4-T6,Fri-Sat,>90 Days (W6),36-50%,36,50,,,T6,$522,$600,$630,$724
T4-T6,Mon-Wed,>90 Days (W6),51-65%,51,65,,,T8,$408,$469,$493,$567
T4-T6,Thu-Sun,>90 Days (W6),51-65%,51,65,,,T8,$460,$529,$555,$638
T4-T6,Fri-Sat,>90 Days (W6),51-65%,51,65,,,T8,$653,$751,$788,$906
T4-T6,Mon-Wed,>90 Days (W6),66-79%,66,79,,,T10,$501,$576,$605,$696
T4-T6,Thu-Sun,>90 Days (W6),66-79%,66,79,,,T10,$570,$655,$688,$791
T4-T6,Fri-Sat,>90 Days (W6),66-79%,66,79,,,T10,$802,$922,$968,"$1,113"
T4-T6,Mon-Wed,>90 Days (W6),80-100%,80,100,,,T12,$606,$697,$731,$841
